,followers_count,text,location,description,statuses_count,screen_name,following,favourites_count,friends_count,created_at,retweet_count,listed_count,user_id,verified,tweet_id
2624,98,RT @scicurious: Check out my links from last week! Spiders in hordes. Zika! Bed bugs! A buggy week that... https://t.co/M81MTZOBKh,,Science.,92,wyorgb,191,111,191,Sat Sep 14 20:30:43 +0000 2013,1,31,1864899704,False,694206606884655104
2625,342,RT @HelenBranswell: Revision: @WHO is holding a news conference today about the emergency committee meeting on #Zika virus. 18:30 Geneva ti…,,"Journalist, begeistert von Wissenschaft, schreibt außerdem über Medien und Düsseldorf",1526,RainerKurlemann,678,222,678,Tue Oct 22 07:55:27 +0000 2013,9,31,2148562602,False,694206606444208128
2626,1826,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/wOyi1b2AQ4,"Nyack & Piermont, NY",Nyack-Piermont Patch is your source for local news.,13669,NyackPatch,55,0,55,Tue Jun 22 19:44:23 +0000 2010,0,41,158467267,False,694206605911416832
2627,858,RT @AP: VIDEO: World Health Organization holds crisis meeting on Zika Virus: https://t.co/j5I48Fm08p,#ConnectTheLeft #p2 #Fem2,"Independent, progressive, No ideology but democracy. Love #Paris, food, arts, science. Living=learning. #WeStandWithParis Also local at @GinaMakesWaves",29498,GinaInTheBurg,1710,3110,1710,Wed Feb 15 01:11:32 +0000 2012,71,150,492702318,False,694206600307937280
2628,142,[AW Sports] Top woman golfer monitoring Zika situation ahead of Rio Games https://t.co/9BPvsHomBr,"London, Nigeria ",Google has it,2784,iamyemiyezi,138,0,138,Sun Aug 09 23:41:45 +0000 2015,0,2,3411445181,False,694206592753881088
2629,2078,A doctor connected to Putnam Hospital Center says local cases will be brought in by humans bitten elsewhere. https://t.co/EPWAjtnFqr,"Hastings-on-Hudson, NY",Rivertowns Patch is your source for local news.,11328,RivertownsPatch,699,0,699,Sat May 08 11:45:29 +0000 2010,0,56,141558822,False,694206591244079104
2630,1615,Zika Update | The Scientist Magazine® https://t.co/3xzPqFHtfv,Planet Earth,Not related to the movie //  I want to be a goat. También se habla Español,51291,Klovn,1054,346,1054,Tue Feb 17 00:41:24 +0000 2009,0,91,21048720,False,694206586194124800
2631,497,RT @ClimateReality: Climate change is helping the spread of diseases like the Zika virus https://t.co/f8oCo6B9Kn #ActOnClimate https://t.co…,Brasil,impermanência,73955,mepalmeiro,609,2031,609,Wed Sep 28 07:54:25 +0000 2011,12,46,381394563,False,694206585439150080
2632,983,Meet the family of Brazilian doctors who sounded the alarm on Zika and microcephaly https://t.co/pr1cjgnwMc,"Boston, San Francisco & beyond","Healthcare/public health issues, technology and progressive politics. MPH 2016 @harvardchansph, ex @practicefusion",10846,lisabari,530,15131,530,Thu Mar 26 19:04:21 +0000 2009,0,99,26820772,False,694206579202199553
2633,2939,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/mnzVYjFEmM,"Scarsdale, NY",Scarsdale Patch is your source for local news.,9306,ScarsdalePatch,1191,7,1191,Mon Dec 21 17:04:27 +0000 2009,0,72,98423036,False,694206576329031680
