,Column1,Column2,Column3
402,@ConversationUK,@ConversationUK,Tweet
403,@instapundit,@jason_pontin,RT
404,@fodido,@CNN,RT
405,@ViralpressNews,@ViralpressNews,Tweet
406,@wyorgb,@sciam,RT
407,@hakeem_mahak,@kashmir_rise,RT
408,@WrigleyRes,@WrigleyRes,Tweet
409,@PearlRiverPatch,@PearlRiverPatch,Tweet
410,@wyorgb,@sciam,RT
411,@DrRobertGlatter,@bermaninstitute,RT
412,@bcn_exp,@BlBrTravel,RT
413,@SportsDayOnline,@SportsDayOnline,Tweet
414,@muryi16,@muryi16,Tweet
415,@RivertownsPatch,@RivertownsPatch,Tweet
416,@Victoria_Donlin,@CNN,RT
417,@SMolloyDVM,@Westxgal,RT
418,@marcioapviana,@CNN,RT
419,@iloveseble,@NYC_Everyday,RT
420,@veena725,@WHO,RT
421,@predictech,@CDCgov,RT
422,@pandrest,@CNN,RT
423,@EpiRen,@EpiRen,Tweet
424,@RivertownsPatch,@RivertownsPatch,Tweet
425,@PearlRiverPatch,@PearlRiverPatch,Tweet
426,@marcioapviana,@CNN,RT
427,@miepsja,@miepsja,Tweet
428,@NewCityPatch,@NewCityPatch,Tweet
429,@_islamhussein,@CNN,RT
430,@NewRoPatch,@NewRoPatch,Tweet
431,@marcioapviana,@CNN,RT
432,@RivertownsPatch,@RivertownsPatch,Tweet
433,@QueenofBasPays,@QueenofBasPays,Tweet
434,@PierreChrist_,@CNN,RT
435,@pandrest,@CNN,RT
436,@diboua,@CNN,RT
437,@smith_lassen,@ClimateReality,RT
438,@mepalmeiro,@ClimateReality,RT
439,@hakeem_mahak,@kashmir_rise,RT
440,@lillyvelez28,@nytimes,RT
441,@Victoria_Donlin,@CNN,RT
442,@miepsja,@miepsja,Tweet
443,@Lara_Adejoro,@actionhealthinc,RT
444,@Bettymartinuk,@Newsweek,RT
445,@muryi16,@muryi16,Tweet
446,@YorktownPatch,@YorktownPatch,Tweet
447,@PearlRiverPatch,@PearlRiverPatch,Tweet
448,@veena725,@WHO,RT
449,@DrRobertGlatter,@bermaninstitute,RT
450,@fractalbears,@fractalbears,Tweet
451,@HeadsOrHeadsWeb,@CNN,RT
452,@Klovn,@Klovn,Tweet
453,@ferasanwar24,@CNN,RT
454,@PierreChrist_,@CNN,RT
455,@BBCWomansHour,@bbcworldservice,RT
456,@RivertownsPatch,@RivertownsPatch,Tweet
457,@jgolden08,@jgolden08,Tweet
458,@AnnemarieVtW,@AnnemarieVtW,Tweet
459,@Victoria_Donlin,@CNN,RT
460,@EmergencyBlog,@EmergencyBlog,Tweet
461,@ICHLibGH,@ICHLibGH,Tweet
462,@smith_lassen,@ClimateReality,RT
463,@_Dirty_Water_,@_Dirty_Water_,Tweet
464,@BzSnow,@nytimes,RT
465,@ColumbiaMSPH,@cuepidemiology,RT
466,@njiru_john,@CNN,RT
467,@ChapKiscoPatch,@ChapKiscoPatch,Tweet
468,@RealTimeHack,@RealTimeHack,Tweet
469,@fractalbears,@fractalbears,Tweet
470,@DailyPublius,@DailyPublius,Tweet
471,@jgolden08,@jgolden08,Tweet
472,@NyackPatch,@NyackPatch,Tweet
473,@hakeem_mahak,@kashmir_rise,RT
474,@dh_a_heller,@WHO,RT
475,@HeadsOrHeadsWeb,@CNN,RT
476,@dh_a_heller,@WHO,RT
477,@AhmedNumen,@ClimateReality,RT
478,@wyorgb,@statnews,RT
479,@lillyvelez28,@nytimes,RT
480,@PChesterPatch,@PChesterPatch,Tweet
481,@racketnews,@racketnews,Tweet
482,@RivertownsPatch,@RivertownsPatch,Tweet
483,@njiru_john,@CNN,RT
484,@bedkatonahpatch,@bedkatonahpatch,Tweet
